ROBO A PASAJERO EN TREN LIGERO CON VIOLENCIA,robbery with violence
ROBO A OFICINA PÚBLICA CON VIOLENCIA,robbery with violence
ROBO DE MERCANCIA A TRANSPORTISTA C/V,robbery with violence
ROBO DE VEHICULO DE SERVICIO OFICIAL CON VIOLENCIA,robbery with violence
ROBO A SUCURSAL BANCARIA DENTRO DE  TIENDAS DE AUTOSERVICIO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN TERMINAL DE PASAJEROS CON VIOLENCIA,robbery with violence
ROBO EN INTERIOR DE EMPRESA (NOMINA) CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN VIA PUBLICA (NOMINA) CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN ECOBUS CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN TREN SUBURBANO CON VIOLENCIA,robbery with violence
ROBO A SUCURSAL BANCARIA DENTRO DE TIENDAS DE AUTOSERVICIO CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN ECOBUS CON VIOLENCIA,robbery with violence
ROBO A PASAJERO EN TREN SUBURBANO CON VIOLENCIA,robbery with violence
ROBO A PASAJERO A BORDO DE PESERO Y VEHICULO CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE Y VEHICULO CON VIOLENCIA,robbery with violence
ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),robbery with violence
ROBO A PASAJERO A BORDO DE CABLEBUS CON VIOLENCIA,robbery with violence
ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,robbery with violence
ROBO DURANTE TRASLADO DE VALORES (NOMINA) CON VIOLENCIA,robbery with violence
ROBO A TRANSEUNTE EN CINE CON VIOLENCIA,robbery with violence
ROBO DE OBJETOS,robbery without violence
ROBO A NEGOCIO SIN VIOLENCIA,robbery without violence
ROBO DE ACCESORIOS DE AUTO,robbery without violence
ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,robbery without violence
ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,robbery without violence
ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,robbery without violence
ROBO DE MOTOCICLETA SIN VIOLENCIA,robbery without violence
ROBO DE PLACA DE AUTOMOVIL,robbery without violence
ROBO DE VEHICULO DE PEDALES,robbery without violence
ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,robbery without violence
"ROBO S/V DENTRO DE NEGOCIOS, AUTOSERVICIOS, CONVENIENCIA",robbery without violence
ROBO DE DINERO,robbery without violence
ROBO A PASAJERO A BORDO DE TRANSPORTE PÚBLICO SIN VIOLENCIA,robbery without violence
ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,robbery without violence
ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,robbery without violence
ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA,robbery without violence
"ROBO EN EVENTOS MASIVOS (DEPORTIVOS, CULTURALES, RELIGIOSOS Y ARTISTICOS) S/V",robbery without violence
ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,robbery without violence
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,robbery without violence
ROBO A PASAJERO EN TROLEBUS SIN VIOLENCIA,robbery without violence
ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,robbery without violence
ROBO DE OBJETOS A ESCUELA,robbery without violence
ROBO DE ANIMALES,robbery without violence
ROBO A PASAJERO EN TREN LIGERO SIN VIOLENCIA,robbery without violence
ROBO A REPARTIDOR SIN VIOLENCIA,robbery without violence
ROBO DE ARMA,robbery without violence
"ROBO A LOCALES SEMIFIJOS (PUESTOS DE ALIMENTOS,BEBIDAS, ENSERES, PERIODICOS,LOTERIA, OTROS)",robbery without violence
ROBO DE FLUIDOS,robbery without violence
ROBO DE ALHAJAS,robbery without violence
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),robbery without violence
ROBO A OFICINA PÚBLICA SIN VIOLENCIA,robbery without violence
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE CONVENIENCIA),robbery without violence
ROBO A PASAJERO EN RTP SIN VIOLENCIA,robbery without violence
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,robbery without violence
ROBO A PASAJERO EN TREN SUBURBANO SIN VIOLENCIA,robbery without violence
"INHUMACION, EXHUMACION Y RESPETO A LOS CADAVERES O RESTOS HUMANOS",robbery without violence
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE SIN VIOLENCIA,robbery without violence
ROBO DE VEHICULO DE SERVICIO OFICIAL SIN VIOLENCIA,robbery without violence
"ROBO DE VEHICULO EN PENSION, TALLER Y AGENCIAS S/V",robbery without violence
ROBO DE CONTENEDORES DE TRAILERS S/V,robbery without violence
POSESION DE VEHICULO ROBADO,robbery without violence
ROBO A NEGOCIO Y VEHICULO SIN VIOLENCIA,robbery without violence
ROBO DE MAQUINARIA SIN VIOLENCIA,robbery without violence
ROBO A PASAJERO EN AUTOBUS FORANEO SIN VIOLENCIA,robbery without violence
ROBO DE VEHICULO ELECTRICO MOTOPATIN,robbery without violence
ROBO DE MERCANCIA EN CONTENEDEROS EN ÁREAS FEDERALES,robbery without violence
ROBO A TRANSPORTISTA Y VEHICULO PESADO SIN VIOLENCIA,robbery without violence
ROBO A SUCURSAL BANCARIA SIN VIOLENCIA,robbery without violence
ROBO A PASAJERO EN ECOBUS SIN VIOLENCIA,robbery without violence
ROBO A REPARTIDOR Y VEHICULO SIN VIOLENCIA,robbery without violence
ROBO A PASAJERO A BORDO DE CABLEBUS SIN VIOLENCIA,robbery without violence
ROBO A SUCURSAL BANCARIA (SUPERMERCADO) SIN VIOLENCIA,robbery without violence
ROBO EN INTERIOR DE EMPRESA (NOMINA) SIN VIOLENCIA,robbery without violence
DENUNCIA DE HECHOS POR ROBO DE CELULAR,robbery without violence
ROBO A TRANSEUNTE EN VIA PUBLICA (NOMINA) SIN VIOLENCIA,robbery without violence
ABUSO SEXUAL,sexual crime
ACOSO SEXUAL,sexual crime
VIOLACION,sexual crime
CONTRA LA INTIMIDAD SEXUAL,sexual crime
VIOLACION EQUIPARADA,sexual crime
PORNOGRAFÍA,sexual crime
VIOLACION TUMULTUARIA,sexual crime
ESTUPRO,sexual crime
ACOSO SEXUAL AGRAVADO EN CONTRA DE MENORES,sexual crime
TENTATIVA DE VIOLACION,sexual crime
VIOLACION EQUIPARADA POR CONOCIDO,sexual crime
VIOLACION DE LA INTIMIDAD,sexual crime
PRIVACION DE LA LIBERTAD PERSONAL (REALIZAR ACTO SEXUAL),sexual crime
VIOLACION TUMULTUARIA EQUIPARADA,sexual crime
VIOLACION EQUIPARADA Y ROBO DE VEHICULO,sexual crime
EXPOSICION DE MENORES,sexual crime
TRAFICO DE INFANTES,sexual crime
CORRUPCION DE MENORES E INCAPACES,sexual crime
VIOLACION TUMULTUARIA EQUIPARADA POR CONOCIDO,sexual crime
INCESTO,sexual crime
LENOCINIO,sexual crime
VIOLACION Y ROBO DE VEHICULO,sexual crime
ROBO A CASA HABITACION SIN VIOLENCIA,burglary
"ALLANAMIENTO DE MORADA, DESPACHO, OFICINA O ESTABLECIMIENTO MERCANTIL",burglary
ROBO A CASA HABITACION CON VIOLENCIA,burglary
DESPOJO,burglary
ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,burglary
ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,burglary
LESIONES INTENCIONALES POR GOLPES,danger of well-being
LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,danger of well-being
ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA,danger of well-being
LA ADMINISTRACION DE JUSTICIA,danger of well-being
LESIONES CULPOSAS POR TRANSITO VEHICULAR,danger of well-being
LESIONES INTENCIONALES POR ARMA DE FUEGO,danger of well-being
LESIONES INTENCIONALES POR ARMA BLANCA,danger of well-being
OMISION DE AUXILIO O DE CUIDADO,danger of well-being
SUSTRACCIÓN DE MENORES,danger of well-being
PRIVACION DE LA LIBERTAD PERSONAL,danger of well-being
LESIONES CULPOSAS,danger of well-being
TORTURA,danger of well-being
LESIONES INTENCIONALES,danger of well-being
RETENCIÓN DE MENORES,danger of well-being
PERSONAS EXTRAVIADAS Y AUSENTES,danger of well-being
LESIONES CULPOSAS POR CAIDA DE VEHÍCULO EN MOVIMIENTO,danger of well-being
CORRUPCIÓN DE PERSONAS MENORES DE EDAD O PERSONAS QUE NO TENGAN CAPACIDAD PARA COMPRENDER EL SIGNIFICADO DEL HECHO O DE PERSONAS QUE NO TENGAN CAPACIDAD DE RESISTIR LA CONDUCTA,danger of well-being
DDH RELACIONADAS,danger of well-being
RETENCIÓN O SUSTRACCIÓN DE MENORES INCAPACES,danger of well-being
DDH OTRAS MATERIAS,danger of well-being
TENTATIVA DE HOMICIDIO,danger of well-being
LESIONES CULPOSAS POR QUEMADURAS,danger of well-being
LESIONES CULPOSAS POR CAIDA DE VEHÍCULO EN MOVIMIENTO,danger of well-being
DDH SIN DATOS,danger of well-being
TRATA DE PERSONAS,danger of well-being
ABORTO,danger of well-being
NARCOMENUDEO POSESION SIMPLE,danger of well-being
DDH FRVT,danger of well-being
MALTRATO ANIMAL,danger of well-being
TENTATIVA DE FEMINICIDIO,danger of well-being
SECUESTRO EXPRESS (PARA COMETER ROBO O EXTORSIÓN),danger of well-being
LESIONES CULPOSAS ACCIDENTE LABORAL,danger of well-being
LESIONES CULPOSAS POR CAIDA,danger of well-being
DDH FDS,danger of well-being
PRIV. ILEGAL DE LA LIB. Y ROBO DE VEHICULO,danger of well-being
PLAGIO O SECUESTRO,danger of well-being
DDH REDES,danger of well-being
DDH ANONIMAS,danger of well-being
LESIONES DOLOSAS POR QUEMADURAS,danger of well-being
LESIONES CULPOSAS CON EXCLUYENTES DE RESPONSABILIDAD,danger of well-being
LESIONES CULPOSAS POR CAIDA DE VEHÍCULO EN MOVIMIENTO,danger of well-being
PRIVACIÓN DE LA LIBERTAD PERSONAL  ( SI LIBERA DENTRO DE 24 HORAS),danger of well-being
"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",danger of well-being
DDH OFICIO COLABORACION,danger of well-being
DDH CERESO,danger of well-being
CONTRA EL ESTADO CIVIL,danger of well-being
"EXPLOTACIÓN LABORAL DE MENORES, PERSONAS CON DISCAPACIDAD FÍSICA O MENTAL Y ADULTOS MAYORES",danger of well-being
LESIONES INTENCIONALES Y ROBO DE VEHICULO,danger of well-being
DDH INCOMPETENCIA,danger of well-being
CONCUSION,danger of well-being
ENTREGA ILEGITIMA DE UN MENOR,danger of well-being
CONTAGIO VENERERO,danger of well-being
